,normal limits,normal chest x ray,normal for age,hyperinflation,atelectasis,compressive atelectasis,platelike atelectasis,small lung volume,fibrotic changes,bronchiectasis,infiltrate,consolidation,contusion,opacity,pneumonitis,atypical pneumonia,tuberculosis,granulomatous disease,bronchopneumonia,pulmonary vascular congestion,pulmonary edema,heart failure,bronchial wall thickening,peribronchial thickening,air bronchogram,granuloma,nodule,mass,interstitial markings,interstitial lung disease,interstitial infiltrate,air trapping,pulmonary fibrosis,pleural thickening,pneumothorax,pleural calcifications,cardiomegaly,heart size,normal heart size,dextrocardia,aortic calcification,lymphadenopathy,tortuous aorta,aortic atherosclerosis,mediastinal widening,tracheostomy,mediastinal mass,hilar mass,pulmonary hypertension,pneumomediastinum,elevated diaphragm,flat,degenerative changes,rib fracture,scoliosis,kyphosis,osteophyte,osteopenia,mineralization,arthritis,pectus deformity,humerus fracture,clavicular fracture,thoracotomy,cervical rib,dish,arthroplasty,calcific tendinitis,resection,skin fold,nipple,motion artifact,cholecystectomy,central line,et tube,ecmo,orogastric tube,vascular stent,surgical clips,cabg,chest tube,ecg,swan ganz catheter,sutures,breast implant,stimulator,staples,drainage catheter,pigtail catheter,foreign body,oxygen tubing
0, findings the cardiomediastinal silhouette is within normal limits, report impression normal chest x ray without evidence of active pulmonary tuberculosis, the hila and mediastinal structures are normal for age with tortuous aorta, findings there is hyperinflation, small left pleural effusion with left greater than right segmental and subsegmental opacities likely atelectasis, adjacent lung opacities most likely compressive atelectasis, there are linear densities in the lower lungs compatible with platelike atelectasis, findings lungs pleura small lung volumes, findings there are fibrotic changes in the left upper lobe unchanged, there is suggestion of right sided bronchiectasis, there is a modest right lower lobe infiltrate with early pleural effusion, the lungs are without gross focal consolidation, hazy opacity is now visualized over the left hemithorax laterally which could be artifactual or could represent an of atelectasis or contusion, impression subtle ill defined left retrocardiac opacity, etiologies include bronchitis versus viral or atypical pneumonitis, this is consistent with pulmonary edema or atypical pneumonia, report impression normal chest x ray without evidence of active pulmonary tuberculosis, evidence of old granulomatous disease, rapid onset for multifocal bronchopneumonia, increased pulmonary vascularity with redistribution to upper lungs consistent with pulmonary vascular congestion, indication pneumonia hypoxia chest one view report compared to date a vascular cephalization and indistinctness has increased consistent with increased pulmonary edema, clinical history heart failure dyspnea check catheters and tubes, mild central bronchial wall thickening, persistent peribronchial thickening likely related to ionic large airways inflammatory change, lungs bilateral lower lobe airspace opacities with air bronchograms, granulomas are seen in the hilum and lungs, the left upper lobe nodule is seen which measures x mm, right infrahilar masslike density is present which probably represents adenopathy, prominent interstitial markings of the lungs and interstitial pulmonary edema should be considered, extensive interstitial prominence seen probably related to chronic interstitial lung disease accentuated by low lung volumes poor inspiration, a small mild interstitial infiltrate is present in the medial left base consistent with pneumonia, findings the lungs are hyperinflated compatible with air trapping, impression mild to moderate chronic interstitial disease such as might occur with pulmonary fibrosis, left lateral small volume pleural fluid or pleural thickening persists, comparison date indication history followup pneumothorax, there appears to be some areas of pleural thickening on the left along with some possible pleural calcifications especially at the lung base, history week f u cxr see prior report abnormal findings exams report header chest x ray v report body chest x ray shows cardiomegaly, heart size is normal, normal heart size trachea midline and patent, dextrocardia is unchanged, aortic calcification is visualized, bilateral lung masses nodules with suspected right infrahilar lymphadenopathy compatible with metastatic disease, the hila and mediastinal structures are normal for age with tortuous aorta, there is severe aortic atherosclerosis, stable mediastinal widening, the distal tip of tracheostomy tube is above the level of the carina, history of mediastinal mass examination chest views, right infrahilar masslike density is present which probably represents adenopathy, history chronic pain soa edema dementia chf pleural effusion cough pulmonary hypertension hypotension findings exams report header chest x ray v report body study chest x ray, gas projecting over the lower mediastinum worrisome for a small amount of pneumomediastinum and intubated patient, mildly elevated diaphragms, lungs pleural space lungs are hypoinflated, the visualized osseous structures demonstrate degenerative changes, several old rib fractures on the left, bones thoracolumbar scoliosis, unchanged moderate t inferior endplate depression with lesser wedging of t and t with associated degenerative disc disease and kyphosis, the osseous structures demonstrate age appropriate degenerative changes in the thoracic spine with some mild anterior osteophytes, osseous structures osteopenia and mild degenerative changes, there is mild demineralization of the visualized osseous structures, there is mild bilateral acromioclavicular joint osteoarthritis, there is a pectus deformity of the sternum normal variation , bones soft tissues healing left proximal humerus fracture, right midclavicular fracture, findings volume loss of the right lung with eventration and tenting of the right hemidiaphragm and deformity of the right posterior fifth rib suggesting prior right thoracotomy please correlate with surgical history , cervical ribs, אגן פרקי ירכיים אוסטיופורוזיס כללי קל dish שינוים אופיינים ל בעצמות אגן וטרוחנתרים של ירכיים , views of the right shoulder demonstrate a reverse shoulder arthroplasty without evidence of acute complication or fracture, probable calcific tendinitis of the shoulders, bones soft tissues there has been a partial left first rib resection, there are multiple bilateral skin folds, there is a different nodular opacity demonstrated within the central right lower lung zone finding which may represent a nipple shadow, motion artifact obscures detail slightly, surgical clips in the right upper quadrant indicate cholecystectomy, findings portable ap chest x ray demonstrates tracheostomy and feeding tubes to be present as well as a right ij central line, sternal wires surgical clips et tube ng tube and right picc line remain in expected locations, examination xr chest view portable date am comparison xr chest view portable date am history age year old female admitted with coronary artery disease chronic systolic heart failure and cardiac arrest status post three vessel cabg on date with ecmo and follow up mediastinal washout and drainage with delayed primary closure of the sternum ventilator dependent for portable chest film evaluation of endotracheal tube findings a single portable semiupright view of the chest demonstrates adequately positioned endotracheal tube with distal tip projecting , orogastric tube extends to the left upper quadrant, there is an aortic vascular stent graft present at the aortic arch and proximal descending aorta, sternal wires surgical clips et tube ng tube and right picc line remain in expected locations, changes of recent cabg, chest tube, ecg leads and defibrillator pads are visualized, right ij central venous catheter terminates in the swan ganz catheter, sternal sutures are identified, breast implants, left neural stimulator device seen, midline skin staples are present, final dictated by doctor name dictated dt tm date time am signed by doctor name signed electronic signature date time am transcribed by technician name study two view chest indication chest trauma date date comparisons date findings there is been placement of a pigtail drainage catheter in the left lung, pleural space a left pigtail catheter is present, there is some type of radiopaque foreign body overlying left anterior chest wall, artifacts from oxygen tubing
1, the cardiac silhouette hilum and mediastinum are within normal limits, normal chest x ray, bones normal for age, hyperinflation is present with eventration of the right hemidiaphragm, low lung volumes likely small left pleural effusion with segmental and subsegmental left greater than right basilar opacities likely atelectasis, history dyspnea findings exams report header chest v ap lat report body views of the chest small bilateral effusions are seen with some compressive atelectasis at the bases, report impression platelike atelectasis in the lower lungs, small lung volumes without acute infiltrate, report impression chronic fibrotic changes of the left upper lobe, suggestion of right sided bronchiectasis, a right base infiltrate is improved compared to , partial consolidation right lung base persists without significant interval change, new vague opacity over left midlung laterally may represent artifact or may represent atelectasis or contusion, focal subsegmental opacity at the left base is present, developing interstitial pneumonitis difficult to exclude radiographically, however on the right with digital manipulation there appears to be some cuffing or congestion of rd and th order small broncho vascular markings which are compatible with bronchiolitis atypical pneumonia distributed through the right lower lobe, clinical history screening for tuberculosis, old granulomatous disease, overlapping densities versus subtle inferior right middle lobe parenchymal infiltrate atelectasis and or bronchopneumonia , there is mild pulmonary vascular congestion, impression increased pulmonary edema, chest views history dyspnea congestive heart failure, there is however widespread bronchial wall thickening suggesting bronchitis or reactive airway disease, peribronchial inflammatory changes are suggested based on peribronchial thickening and mild vascular distention,, evidence of old granulomatous disease, bilateral lung masses nodules with suspected right infrahilar lymphadenopathy compatible with metastatic disease, bilateral lung masses nodules with suspected right infrahilar lymphadenopathy compatible with metastatic disease, mild prominence interstitial markings as described above, evidence of rather severe chronic interstitial lung disease, moderate interstitial infiltrates are again evident bilaterally, findings the lungs are hyperinflated compatible with air trapping and underlying copd,, exam frontal and lateral views of the chest history cough and congestion comparison date findings there is mild blunting of the left costophrenic angle which likely relates to atelectasis or pleural thickening, pneumothorax none,, cardiomegaly, history cough findings exams report header chest v report body chest findings the heart size and pulmonary vascularity are unremarkable, cardiac normal heart size midline trachea patent,, mild aortic calcification, examination chest views with date comparison clinical history lymphadenopathy findings heart size and pulmonary vascularity are normal, hilar and mediastinal structures demonstrate tortuous aorta, mild cardiomegaly and aortic atherosclerosis, similar cardiac configuration mediastinal widening, findings portable ap chest x ray demonstrates tracheostomy and feeding tubes to be present as well as a right ij central line, left superior mediastinal mass concerning for malignancy documented on recent chest ct, correlate with rib exam date findings there is a large right perihilar mass now with moderate confluent right upper lobe opacity extending from the hilum peripherally with moderate right upper lobe volume loss, pulmonary hypertension,,, the lungs are hyperinflated but grossly clear, degenerative changes throughout the thoracic spine are seen, the patient has had previous rib fractures, bones mild s shaped thoracolumbar scoliosis, there is kyphosis with evidence of kyphoplasty probably t vertebral body, there are mild degenerative changes of the thoracic spine with small lateral marginal osteophytes at a few levels and there is mild curvature of the thoracic spine with the apex to the right, osteopenia is mild, mild demineralization, mild osteoarthritis,,, old left clavicular fracture, impression probable postsurgical changes status post right thoracotomy with right partial pneumonectomy with associated fine loss and tenting of the right hemidiaphragm,,,, calcific tendinitis of right shoulder, study chest x ray one view history status post lung mass resection findings comparisons date postoperative changes are again identified in the right chest,, these are likely prominent nipple shadows,, cholecystectomy clips, persistent right ij central line tip at the junction of the svc and right atrium, et tube in place tip cm above the carina,,,, high right axillary surgical clips, expected postsurgical changes status post recent cabg, left sided chest tube is present, support lines tubes ecg leads, right ij cordis and swan ganz catheter with tip projecting over the right pulmonary outflow tract,, the lung bases are partially ordered by overlying breast implants,,, impression placement of pigtail drainage catheter in the left lower lung zone with marked reduction in left pleural effusion,,, oxygen tubing is appreciated
2, lung markings are within normal limits, normal chest x ray, bones and soft tissues normal for age, exam frontal and lateral views of the chest history cough comparison none findings pulmonary hyperinflation, report impression findings may represent left lower lobe atelectasis or pneumonia, moderate sized left pleural effusion with underlying compressive atelectasis or pneumonia, findings there are right basilar linear densities compatible with platelike atelectasis, findings examination is limited by portable technique small lung volumes and patient body habitus,,, findings the heart is enlarged in size and the lungs show right upper lobe infiltrates, basilar pulmonary consolidation as before, left basilar airspace opacity which may represent pulmonary contusion or atelectasis in the posttraumatic setting, there is an airspace opacity in the right lower lobe, small developing interstitial pneumonitis difficult to exclude, report impression the right lung findings are consistent with possible atypical pneumonia bronchiolitis, history chest v tb screening findings exams report header chest v report body chest v history evaluate for tuberculosis, evidence of old granulomatous disease, overlapping densities versus small posterior right lung base parenchymal infiltrate possible atelectasis versus bronchopneumonia synoptic clinical data elements synoptic data in this section is for data collection qa and is incomplete, report impression mild cardiomegaly with mild pulmonary vascular congestion, these findings may be on the basis of pulmonary edema, impression congestive heart failure with fluid overload and edema, lungs mild bronchial wall thickening, impression peribronchial inflammatory changes of mild degree are suggested based on peribronchial thickening and mild vascular distention,, calcified granuloma in the perihilar regions again seen, lung clear without consolidation or pulmonary nodules, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax, may reflect accentuation of interstitial markings in conjunction with emphysematous change and mild hypoventilatory change, report impression mild chronic interstitial lung disease, report impression persistent moderate interstitial infiltrates,,, mild scarring or atelectasis in the left lung base with mild blunting of the left costophrenic angle likely a result of pleural thickening, lungs aerated symmetrically without consolidation effusion or pneumothorax,, history cough findings exams report header chest x ray v report body chest x ray shows cardiomegaly, chest findings the heart size and pulmonary vascularity are unremarkable, upper limit normal heart size trachea midline and patent,,, report impression soft tissue density in the right paratracheal region which may be secondary to positioning a substernal thyroid lymphadenopathy or other soft tissue mass for which clinical correlation and more complete evaluation will be needed, mediastinum tortuous aorta, there is borderline cardiac enlargement and aortic atherosclerosis, cardiac prominence mediastinal widening and accentuation of central lung markings exaggerated by low lung volume, tracheostomy tube tip cm above the carina, left superior mediastinal mass concerning for malignancy, large right perihilar mass now with right upper lobe volume loss and confluence infiltrate possibly postobstructive atelectasis and or pneumonia, features most suggestive of copd with pulmonary hypertension,,, findings there is hyperinflation, the visualized osseous structures demonstrate degenerative changes, possible healing posterolateral left eighth and ninth rib fractures are identified, slight thoracic scoliosis, increased degree of kyphosis is demonstrated, there mild degenerative changes of the thoracic spine with small lateral marginal osteophytes at several levels, mild diffuse osteopenia, bone mineralization is within normal limits, mild degree of osteoarthritis,,,, there remains a right thoracotomy tube and right picc line,,,, bones soft tissues calcific tendinitis of the rotator cuff left greater than right,,, followup with nipple markers is recommended utilizing shallow oblique views to exclude true pulmonary nodules,, cholecystectomy clips are identified, tubes and lines as described including right ij central line left sided chest tube and aortic stent graft, interval placement et tube and left subclavian central catheter in expected positions,,,, surgical clips in left axilla, recent cabg, tubes and lines as described including right ij central line left sided chest tube and aortic stent graft,, impression swan ganz catheter with tip in the right main pulmonary artery,, bones soft tissues bilateral calcified breast implants,,,,,, oxygen tubing and cervical spine fusion plate and screws are visualized
3, cardiac and mediastinal contours are within normal limits, normal chest x ray, bones and soft tissues normal for age, pulmonary hyperinflation, there is minimal atelectasis at the left base, there is likely compressive atelectasis in the left lower lung, right basilar platelike atelectasis,,,, report impression patchy perihilar and right upper lobe infiltrates, the left lung is without gross focal consolidation, left lung is well expanded and clear of contusion or pneumothorax, findings lungs left basilar lung opacity consistent with atelectasis is present, correlate with history acuity would raise question of etiologies such as aspiration pneumonitis though somewhat atypical distribution, findings concerning for possible right sided atypical pneumonia, without evidence of tuberculosis, findings lungs prior granulomatous disease,, there is pulmonary vascular congestion with lung interstitium prominence, persistent cardiomegaly with pulmonary edema unchanged this report was electronically signed by doctor name on date time am, perihilar and bibasilar groundglass opacities with cardiomegaly suggesting congestive heart failure, lungs unchanged irregular bibasilar airspace opacities and bronchial wall thickening, there is mild central peribronchial thickening which appears new from comparison study,, old granulomatous disease, impression right basilar pulmonary nodule, the left apical mass would be difficult to exclude without the benefit of older studies for comparison however, there are increased interstitial markings bilaterally likely of a chronic nature, impression trace effusions and coarsening of interstitial markings which may be mild edema or chronic interstitial lung disease, moderate interstitial infiltrates are again evident,,, a prominent left apical pleural thickening as discussed probably postoperative in nature, lungs large left pneumothorax,, cardiomegaly, heart size is within normal limits, normal heart size trachea is midline and patent,,,, tortuous aorta is present, mild cardiomegaly and aortic atherosclerosis, similar left ventricular dilatation pattern of the heart and mediastinal widening with thoracic aortic tortuosity, additional findings tracheostomy tube is unchanged in position, mediastinal mass,,,,, findings lungs the lungs appear well inflated, multilevel degenerative changes of the thoracic spine, bones several bilateral rib fractures, there is dextroscoliosis in the spine, has extreme kyphosis humpback chin in the apices of the lung, the osseous structures demonstrate age appropriate degenerative changes in the thoracic spine with some mild anterior osteophytes, chest wall osteopenia, diffuse demineralization about the spine without destructive lesion or fracture, there is degenerative arthritis involving the thoracic spine and both shoulders,,,,,,,,,,, rounded nodular densities projected more fairly over both lower lung zones suspected to reflect superimposed nipple shadows,, calcification in the epigastric region cholecystectomy clips, final dictated by doctor name dictated dt tm date time am signed by doctor name signed electronic signature date time am transcribed by technician name examination xr chest view cvc insrt fup date date am comparison xr chest views date pm indication history new central line, et tube in good position heart is grossly normal in size,,,, surgical clips overlie the upper abdomen, recent cabg, chest tube removal,, additional findings swan ganz catheter tip extends into the main pulmonary artery,, comparison ct abdomen and pelvis examination date calcified bilateral breast implants are present,,,,,,
4, heart size is within normal limits, normal chest x ray, bones normal for age, other impression unchanged mild blunting of the left posterior costophrenic angle may represent a small pleural effusion versus scarring or hyperinflation of the lungs, discoid atelectasis vs scarring right mid lung, bilateral pleural effusions seen significantly larger on the right side with associated areas of compressive atelectasis,,,,, final dictated by doctor name dictated dt tm date time am signed by doctor name signed electronic signature date time am transcribed by technician name single view chest history hypoxia respiratory arrest comparison date findings increasing basilar infiltrates, report impression right lower lobe consolidation, right lung is well expanded and clear of contusion or pneumothorax, findings lungs there is airspace opacity in the right lung base obscuring the hemidiaphragm and right heart margin, findings there are patchy interstitial densities along the cardiac border in the right lower lung compatible with viral pneumonitis, findings may represent an atypical pneumonia in the appropriate clinical setting, history xr chest v newadmit tbscreen drrodriguez garrsage stat priora newadmit prior findings exams report header chest x ray v report body clinical history rule out tuberculosis,,, conclusion mild pulmonary vascular congestion only, there is increased prominence of the pulmonary vasculature and interstitial pulmonary edema is present, clinical history followup heart failure portable chest portable examination of the chest is compared to the previous study of date picc line from right upper extremity and feeding tubes remain in place, there is a central bronchial wall thickening, impression mild central peribronchial thickening which may be seen with bronchitis or reactive airway disease,, small granuloma in the right lower lung, projecting in the left lower lobe is an mm nodule, comparison today s earlier date indication history possible pneumonia pancreatic mass, bilateral increased interstitial markings, report impression mild chronic interstitial lung disease, report impression persistent moderate interstitial infiltrates,,, comparison date history aortic aneurysm findings persistent pleural parenchymal opacity at the right lung base is similar compared to prior compatible with small amounts of pleural thickening pleural fluid and associated airless lung, large left pneumothorax,, history sob findings exams report header chest v report body chest x ray shows cardiomegaly, findings heart size is enlarged, comparison date findings normal heart size,,,,, aortic atherosclerosis, impression rotated exam likely resulting in mild mediastinal widening, findings portable ap chest x ray demonstrates feeding and tracheostomy tubes to be present,,,,,, hyperinflation is present with eventration of the right hemidiaphragm, osseous structures mild degenerative changes, old bilateral rib fractures, bones there is a prominent thoracolumbar levoscoliosis, heart is difficult to evaluate secondary to kyphosis,, osteopenia, cardiac size and bony mineralization are normal, mild degenerative arthritis,,,,,,,,,,, separate nodular densities projected over lower lung zone suspected to be superimposed nipple shadows and which should be confirmed,, the patient is status post cholecystectomy, central line as described this report was electronically signed by doctor name on date time am, comparison date findings et tube and left picc line present,,,, surgical clips in the right upper quadrant indicate cholecystectomy, patient is status post cabg with mediastinal wires in place, chest tubes have been removed,, there is interval removal of the right ij swan ganz catheter and chest tubes,, bilateral breast implants,,,,,,
5, the mediastinal contours are within normal limits, normal chest x ray, bones normal for age, impression apparent mild pulmonary hyperinflation consistent with clinical diagnosis of asthma, report impression discoid atelectasis vs scarring at the right mid lung, findings most consistent with worsening pleural effusions and probable underlying compressive atelectasis,,,,, report impression perihilar infiltrates, lungs aerated symmetrically without consolidation effusion or pneumothorax, patchy opacity is seen within the right middle lobe and right lung base which could represent atelectasis contusion or even pneumonia, impression stable abnormal exam without new and or progressive consolidative opacity effusion or pneumothorax, report impression patchy interstitial densities along the cardiac border in the right lower lung compatible with viral pneumonitis,, nonspecific reaction to skin test w o active tuberculosis findings exams report header chest single view frontal report body clinical history ppd rule out tuberculosis,,, findings lungs pulmonary vascular congestion and interstitial pulmonary edema appears worse, prominent interstitial markings of the lungs and interstitial pulmonary edema should be considered, cptcode lat report header chest v report body findings there is interstitial edema cardiomegaly and mild congestive heart failure, impression central bronchial wall thickening which can be chronic change but could also be seen with asthma bronchitis in the appropriate clinical setting, mild vascular distention and peribronchial thickening,, calcified granulomas again identified in the right lung base, projecting in the right lower lobe is a mm nodule, an underlying mass is difficult to exclude, there are increased interstitial markings bilaterally likely of a chronic nature, these findings appear to be superimposed on chronic interstitial lung disease, report impression bibasilar interstitial infiltrates with a small left pleural effusion,,, there is mild right apical pleural thickening which appears more prominent compared to prior chest x rays, pneumothorax none,, cardiomegaly, the heart size and pulmonary vasculature are normal, cardiac normal heart size midline trachea patent,,,,, findings there is borderline cardiac enlargement and aortic atherosclerosis, stable cardiomegaly and mediastinal widening, examination xr chest view portable date am comparison xr chest view portable date date pm history respiratory distress findings medical devices unchanged tracheostomy tube right picc line nasogastric tube partially visualized enteric feeding tube and left chest wall pacemaker,,,,,, lungs pleural space lung inflation is adequate, multilevel degenerative changes in the spine, presumed old rib fractures, scoliosis convex right, accentuated thoracic kyphosis with multilevel degenerative disc disease unchanged,, significant osteopenia and compression fractures similar to comparison date examination, the bony mineralization is normal, there is degenerative arthritis involving the thoracic spine and both shoulders,,,,,,,,,,,,, cholecystectomy clips visualized, technique pa and lateral radiographs findings the patient has an indwelling right ij central line tip at the cavoatrial junction, sternal wires thoracic aortic stent graft et tube and left picc line remain in expected locations,,,, there are some surgical clips at the left axillary region, postoperative evaluation following cabg, chest tube removal,, interval removal of the right ij swan ganz catheter and chest tubes without a pneumothorax,, calcified breast implants,,,,,,
6, findings the cardiomediastinal silhouette is within normal limits, normal chest x ray, bones and soft tissues normal for age, lateral view shows mild hyperinflation, exam frontal and lateral views of the chest history cough and congestion comparison date findings there is mild blunting of the left costophrenic angle which likely relates to atelectasis or pleural thickening, findings there is a moderate size left pleural effusion with associated compressive atelectasis at the left lung base,,,,, question of left lower lobe infiltrate versus atelectasis, there is dense consolidation in the left lower lobe, patchy opacity in the right lung base which could represent atelectasis contusion or less likely pneumonia, veiling opacity over the right hemithorax likely represents pleural effusion, this may be seen with bronchitis versus viral or atypical pneumonitis,, evaluation for acute tuberculosis,,, there is been considerable interval improvement in changes of pulmonary vascular congestion pulmonary edema, findings suggest pulmonary congestion and mild pulmonary edema, report impression mild congestive heart failure cptcode lat , there is central bronchial wall thickening, mild central peribronchial thickening,, mm left upper lobe granuloma, the right lower lobe nodule is similar compared to chest x ray dated date , lungs are clear without significant infiltrate mass or atelectasis, there is chronic coarsening of interstitial markings, interstitial lung disease, report impression central venous congestion with mild perihilar interstitial infiltrates suggesting chf,,, there appears to be some areas of pleural thickening on the left along with some possible pleural calcifications especially at the lung base, impression stable abnormal exam without new and or progressive consolidative opacity effusion or pneumothorax,, there is mild cardiomegaly, findings heart size normal, mediastinum normal heart size,,,,, there is borderline cardiac enlargement and aortic atherosclerosis, mild mediastinal widening with thoracic aortic tortuosity, tracheostomy tube is in place,,,,,, flattened hemidiaphragm silhouette, there are thoracic spine degenerative changes, lateral left rib fractures are suspected, mild scoliosis, cardiomegaly and thoracic kyphosis with spondylosis and osteopenia,, bones there is diffuse osteopenia, normal mineralization of the visualized osseous structures, mild degenerative arthritis,,,,,,,,,,,,, there is prior cholecystectomy, support lines tubes left ij central line tip in svc, et tube and left picc line remain in expected locations,,,, other multiple surgical clips in the upper abdomen, the cabg markers overlie the heart, examination xr chest view portable date pm comparison xr chest view portable date date am clinical history post chest tube removal examination single view chest,,,, bilateral breast implants project the lung bases,,,,,,
7, cardiac and mediastinal contours are within normal limits, impression normal chest x ray, bones and soft tissues normal for age, findings lungs hyperinflation and peribronchial cuffing without a focal alveolar infiltrate, mild scarring or atelectasis in the left lung base with mild blunting of the left costophrenic angle likely a result of pleural thickening,,,,,, report impression developing right basilar infiltrate, stable left mid to lower lung consolidation and right mid lung probable atelectasis, clinical rib fractures pulmonary contusion view chest date compared to prior day cardiovascular status is probably stable, the more bandlike right upper lobe opacity has improved compatible with improving aeration, findings there are subtle patchy interstitial densities in the right lower lung compatible with pneumonitis,,,,, pulmonary vascular congestion is seen, this is consistent with pulmonary edema or atypical pneumonia, history heart failure chf findings exams report header chest v report body history congestive heart failure, impression central bronchial wall thickening which can be seen with asthma bronchitis in the appropriate clinical setting, mild central peribronchial thickening consider bronchitis reactive airway disease viral illness etc,, granuloma in the right lung base, bilateral lower lobe pulmonary nodules, history of mediastinal mass examination chest views, impression trace effusions and coarsening of interstitial markings which may be mild edema or chronic interstitial lung disease, this raises concern for chronic interstitial lung disease and has worsened significantly compared to the prior study,,,, there is stable scarring or pleural thickening in the lung apices, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,, there is cardiomegaly, heart size is enlarged with atherosclerotic plaques in the aorta, cardiac upper limit normal heart size midline trachea patent,,,,, report impression aortic atherosclerosis, similar mediastinal widening with thoracic aortic tortuosity, tracheostomy tube is in place,,,,,, the lungs are hyperinflated, skeletal degenerative changes again displayed, probable lateral left rib fractures, mild thoracic scoliosis seen,,, there is generalized osteopenia osteoporosis, the bony mineralization is mildly decreased, moderate osteoarthritis,,,,,,,,,,,,, cholecystectomy clips are visualized, left central line as described this report was electronically signed by doctor name on date time pm,,,,, eg junction surgical clips, impression status post cabg, mild atelectatic lung on the left at the site of previous chest tube is also similar,,,, there are bilateral breast implants,,,,,,
8, pulmonary vessels are within normal limits, normal chest x ray, examination pa and lat views of the chest comparison none clinical indication crohn s disease findings the musculoskeletal cardiovascular and pulmonary parenchymal structures are normal for age, lateral view shows moderate hyperinflation, minimal scattered atelectasis,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax, right basilar consolidation concerning for pneumonia,, hazy opacity is now visualized over the left hemithorax laterally which could be artifactual or could represent an of atelectasis or contusion, report impression persistent right lower lung pneumonitis,,,,, mild cardiomegaly with pulmonary vascular congestion, bilateral airspace densities representing pulmonary edema and or ards pneumonia, this is consistent with mild heart failure, bronchial wall thickening with some patchy right perihilar parenchymal or airspace opacification along with small area of airspace opacification inferior lung on the left, peribronchial inflammatory changes are suggested based on peribronchial thickening and mild vascular distention,, multiple small calcified pulmonary nodules are present in the right lung consistent with pulmonary granulomas, followup with nipple markers is recommended utilizing shallow oblique views to exclude true pulmonary nodules, the pulmonary parenchyma appears normal without focal findings such as mass consolidation or effusion, there are increased interstitial markings bilaterally likely of a chronic nature, lungs pleura increased interstitial opacities which could represent pulmonary edema although there may be a component of chronic interstitial lung disease,,,, biapical interstitial accentuation and pleural thickening scarring are similar, pneumothorax none,, cardiomegaly, heart mediastinum heart size is probably normal, heart and mediastinum normal heart size and pulmonary vascularity,,,,,, similar cardiac configuration and mild mediastinal widening, tracheostomy tube feeding tube and right arm picc line are in place unchanged,,,,,, findings the lungs are adequately inflated and are clear without infiltrate effusion or pneumothorax, osseous structures osteopenia and mild degenerative changes, old healed right lateral rib fractures as above, mild thoracic dextroscoliosis,,, osteopenia, the bony mineralization is normal, mild degenerative arthritis,,,,,,,,,,,,, findings metallic right upper quadrant surgical clips suggest remote cholecystectomy, indication history atelectasis respiratory difficulty comparison date findings lines tubes right internal jugular central line has its tip near the distal svc,,,,, numerous medial left upper quadrant surgical clips, interval postsurgical changes compatible with cabg, chest tube acetabulum fracture בוצע צילום חזה ,,,, bilateral breast implants,,,,,,
9, the mediastinal and hilar contours are within normal limits, normal chest x ray, bones normal for age, moderate central bronchial wall thickening with hyperinflation consistent with chronic bronchitis or copd, low volumes with minimal scattered subsegmental atelectasis,,,,,, findings the heart is normal in size and the lungs demonstrate right basilar infiltrate and effusion, lungs are clear without focal infiltration or consolidation,, new vague opacity over left midlung laterally may represent artifact or may represent atelectasis or contusion, etiologies include bronchitis versus viral or atypical pneumonitis,,,,, negative for pulmonary vascular congestion, apparent mild right hilar enlargement may be related to pulmonary edema versus adenopathy, examination xr chest view portable date date am comparison xr chest view portable date date am history congestive heart heart failure unstable angina acute coronary syndrome coronary artery disease, mild bronchial wall thickening, impression peribronchial inflammatory changes of mild degree are suggested based on peribronchial thickening and mild vascular distention,, findings are most suggestive of chronic pleuroparenchymal scar possibly related to previous granulomatous infection, cm pulmonary nodule left midlung unchanged from prior cxr, there is once again a mass within the mid to upper portion of the right lung which was reported to represent carcinoma, the pulmonary vascularity and interstitial markings are diffusely prominent consistent with mild chf or volume overload in the appropriate clinical setting, there may be mild underlying chronic interstitial lung disease,,,, apical pleural thickening similar, pneumothorax none,, persistent cardiomegaly with pulmonary edema unchanged this report was electronically signed by doctor name on date time am, findings heart size is within normal limits, normal heart size and pulmonary vascularity,,,,,,, heart is mildly prominent area tracheostomy tube is unchanged,,,,,, technique pa and lateral radiographs findings lungs the lungs remain hyperinflated, bones there are degenerative changes of the spine, procedure one view portable chest comparison date history evaluate rib fractures findings ap semierect portable view of the chest was obtained at hour hrs, dextroconvex scoliosis of t spine,,, osteopenia, bone mineralization appears within normal limits, moderate degenerative arthritis,,,,,,,,,,,,, cholecystectomy clips, there is a right central line remaining,,,,, heart and mediastinum unchanged cardiomegaly with multiple mediastinal surgical clips, heart mediastinum status post cabg, bilateral chest tubes remain in place,,,, findings there is decreased penetration resolution of the lateral mid lungs due to overlying breast implants,,,,,,
